scenario,method,n_slots,total_passenger_min_wait,total_fleet_cost,weighted_avg_wait_min,headway_std,total_trips,objective,wait_saved_vs_baseline,fleet_cost_delta_vs_baseline,objective_improvement_pct,wait_improvement_pct
weekday_peak,Baseline,48,800818.6674223808,69300.0,2.5957227441336057,5.902140475526006,462.0,870118.6674223808,0.0,0.0,0.0,0.0
weekday_peak,Analytical,48,687819.9848002391,79050.0,2.2294559942793297,7.800640789013653,527.0,766869.9848002391,112998.68262214167,9750.0,11.86604614839527,14.110395676196452
weekend,Baseline,48,572830.1701628896,69300.0,2.801662924385708,5.902140475526006,462.0,642130.1701628896,0.0,0.0,0.0,0.0
weekend,Analytical,48,455410.4654651385,83550.0,2.2273732825701207,3.891303864615402,557.0,538960.4654651384,117419.70469775115,14250.0,16.066789802382292,20.498170455016666
rainy_day,Baseline,48,856327.1063067666,69300.0,2.5683582610506885,5.902140475526006,462.0,925627.1063067666,0.0,0.0,0.0,0.0
rainy_day,Analytical,48,782993.4181656588,74250.0,2.3484105537279025,7.807698315338385,495.0,857243.4181656588,73333.68814110779,4950.0,7.387822555667943,8.563747147674322
