method,mae,coverage_90,mean_interval_width,std_error_corr
mc_dropout,1411.9639304142859,0.1652930402930403,1092.6133220210122,0.6078541468704393
quantile_gbm,843.8344042423209,0.7097069597069597,2930.235760688956,0.5937121095637689
