mae_before,mae_after,mae_delta,alpha
337.9163763696429,337.9163763696429,0.0,0.0
337.9163763696429,337.9163763696429,0.0,0.02
337.9163763696429,337.9163763696429,0.0,0.05
337.9163763696429,337.9163763696429,0.0,0.08
337.9163763696429,337.9163763696429,0.0,0.1
