schedule,wait_v1,wait_v2,overflow_pct,total_overflow_pax,improve_v1_pct,improve_v2_pct
baseline,800818.6674223808,800818.6674223808,0.0,0.0,,
optimized,687819.9848002391,687819.9848002391,0.0,0.0,14.110395676196452,14.110395676196452
