scenario,method,n_slots,total_passenger_min_wait,total_fleet_cost,weighted_avg_wait_min,headway_std,total_trips,objective,wait_saved_vs_baseline,fleet_cost_delta_vs_baseline,objective_improvement_pct,wait_improvement_pct
weekday_peak,Baseline,48,836001.7479311859,69300.0,2.6082533817881943,5.902140475526006,462.0,905301.7479311859,0.0,0.0,0.0,0.0
weekday_peak,Analytical,48,683652.0643371688,83550.0,2.1329355030495423,6.848759019901908,557.0,767202.0643371688,152349.68359401706,14250.0,15.254547327408268,18.22360826051257
weekend,Baseline,48,627468.8908921629,69300.0,2.834424654517313,5.902140475526006,462.0,696768.8908921629,0.0,0.0,0.0,0.0
weekend,Analytical,48,513225.14321483194,80250.0,2.3183587590740076,4.480576370169375,535.0,593475.143214832,114243.74767733098,10950.0,14.82467845903262,18.20707756760565
rainy_day,Baseline,48,842140.9692801349,69300.0,2.6060862610216713,5.902140475526006,462.0,911440.9692801349,0.0,0.0,0.0,0.0
rainy_day,Analytical,48,688679.2071673068,83550.0,2.1311840719305946,6.848759019901908,557.0,772229.2071673068,153461.7621128281,14250.0,15.273810022252885,18.22281158509694
