lambda_eval,lambda_opt,total_trips,total_passenger_min_wait,total_fleet_cost,objective,baseline_objective,improvement_pct,pct_at_trips_max,elapsed_s
100,1056.2795340623807,557.0,683652.0643371688,55700.0,739352.0643371688,882201.7479311859,16.192405413955235,50.0,0.0008635520935058594
150,1056.279534062382,557.0,683652.0643371688,83550.0,767202.0643371688,905301.7479311859,15.254547327408268,50.0,0.0006842613220214844
200,1056.2795340623811,557.0,683652.0643371688,111400.0,795052.0643371688,928401.7479311859,14.36335981606759,50.0,0.0007865428924560547
400,1056.279534062385,557.0,683652.0643371688,222800.0,906452.0643371688,1020801.7479311859,11.201948255453573,50.0,0.0006802082061767578
600,1056.279534062382,557.0,683652.0643371688,334200.0,1017852.0643371688,1113201.7479311859,8.56535518123452,50.0,0.0006706714630126953
1000,1056.279534062382,557.0,683652.0643371688,557000.0,1240652.0643371688,1298001.7479311859,4.418305575121419,50.0,0.0006663799285888672
