scenario,hour_group,n_slots,at_min_pct,at_max_pct,interior_pct
weekday_peak,peak,316,11.39240506329114,34.810126582278485,53.79746835443038
weekday_peak,overnight,353,30.59490084985836,1.69971671388102,67.70538243626062
weekday_peak,off_peak,513,11.890838206627679,18.51851851851852,69.5906432748538
weekend,peak,316,11.708860759493671,34.810126582278485,53.48101265822784
weekend,overnight,353,13.314447592067987,10.764872521246458,75.92067988668555
weekend,off_peak,513,11.890838206627679,48.148148148148145,39.96101364522418
rainy_day,peak,316,13.291139240506327,34.810126582278485,51.89873417721519
rainy_day,overnight,353,32.577903682719544,0.84985835694051,66.57223796033993
rainy_day,off_peak,513,12.085769980506821,13.840155945419102,74.07407407407408
