lambda_eval,lambda_opt,total_trips,total_passenger_min_wait,total_fleet_cost,objective,baseline_objective,improvement_pct,pct_at_trips_max,elapsed_s
100,1382.978117457742,8693.0,13234996.831026945,869300.0,14104296.831026945,16458286.825461565,14.302764433494449,17.93570219966159,3.3528788089752197
150,1382.9781174577452,8693.0,13234996.831026945,1303950.0,14538946.831026945,16883136.825461566,13.884801258610505,17.93570219966159,3.634903907775879
200,1382.978117457746,8693.0,13234996.831026945,1738600.0,14973596.831026945,17307986.825461566,13.48735712578963,17.93570219966159,3.501932382583618
400,1382.978117457743,8693.0,13234996.831026945,3477200.0,16712196.831026945,19007386.825461566,12.075252718906487,17.93570219966159,3.374934196472168
600,1382.978117457741,8693.0,13234996.831026945,5215800.0,18450796.831026945,20706786.825461566,10.894930311740117,17.93570219966159,3.3465423583984375
1000,1382.9781174577408,8693.0,13234996.831026945,8693000.0,21927996.831026945,24105586.825461566,9.033548986803915,17.93570219966159,3.348945379257202
