schedule,total_passenger_min_wait,weighted_avg_wait_min,total_vehicle_hours,overflow_pct,total_overflow_pax,max_queue_length,wait_improve_pct,vehicle_hours_delta_pct,fleet_utilization_pct
baseline,14426912.891563028,3.559756131220864,17442.3,1.5398550724637683,31202.503056598867,5390.696255769246,,,67.44999922659284
optimized,12297800.064906623,3.0344100301029004,20795.683333333334,0.4528985507246377,11286.674482574585,3986.8648864750357,14.75792390693318,19.225579959829467,80.41765276080581
