stage,total_vehicle_hours,total_passenger_min_wait,overflow_pct,max_queue_length,pct_at_bound
baseline (service_window only),22309.550000000003,10931313.411510536,0.18115942028985507,1434.065704674138,67.11956521739131
+ headway bounds,22226.533333333333,10980716.837578405,0.18115942028985507,1434.065704674138,69.02173913043478
+ turnaround/fleet-per-RD,20959.1,11777209.51555867,0.36231884057971014,1434.065704674138,42.30072463768116
+ capacity floor,20968.533333333333,11746625.827392321,0.0,0.0,42.30072463768116
+ smoothness (full),20776.25,11902005.237725798,0.18115942028985507,1630.969347318398,39.402173913043484
