mae_before,mae_after,mae_delta,alpha
120.20226843345891,120.20226843345891,0.0,0.0
120.20226843345891,155.16861203649628,-34.96634360303737,0.02
120.20226843345891,313.7964358775762,-193.59416744411726,0.05
120.20226843345891,494.1654051988735,-373.96313676541456,0.08
120.20226843345891,617.7842877311285,-497.5820192976696,0.1
