risk_level,total_trips,total_wait,trips_band_width
aggressive,11567.0,10698425.663592178,0.08460236886632826
moderate,11589.0,10695159.50188693,0.08460236886632826
conservative,11897.0,10662711.913739396,0.08460236886632826
