scenario,method,n_slots,total_passenger_min_wait,total_vehicle_hours,weighted_avg_wait_min,headway_std,total_trips,overflow_pct,max_queue_length,wait_saved_vs_baseline,vehicle_hours_delta_vs_baseline,fleet_utilization,wait_improvement_pct,vehicle_hours_change_pct,fleet_utilization_pct,fleet_utilization_delta_pp
weekday_peak,Baseline,1104,14426912.891563028,17442.3,3.559756131220864,6.224332428306596,8124.0,1.5398550724637683,5390.696255769246,0.0,0.0,0.6744999922659284,0.0,0.0,67.44999922659284,0.0
weekday_peak,Analytical,1104,12297800.064906623,20795.683333333334,3.0344100301029004,4.241759025579722,9581.0,0.4528985507246377,3986.8648864750357,2129112.826656405,3353.383333333335,0.804176527608058,14.75792390693318,19.225579959829467,80.41765276080581,12.967653534212964
weekend,Baseline,1104,10010188.305746626,17442.3,3.7206436811983425,6.224332428306596,8124.0,0.0,0.0,0.0,0.0,0.6744999922659284,0.0,0.0,67.44999922659284,0.0
weekend,Analytical,1104,8403018.570508907,20893.86666666667,3.1232816998465416,4.141811247222195,9600.0,0.0,0.0,1607169.7352377195,3451.5666666666693,0.8079733122966586,16.055339681423167,19.788483552436716,80.79733122966586,13.34733200307302
rainy_day,Baseline,1104,16215216.985175224,17442.3,3.743610437587546,6.224332428306596,8124.0,4.166666666666666,14555.252914147994,0.0,0.0,0.6744999922659284,0.0,0.0,67.44999922659284,0.0
rainy_day,Analytical,1104,13018050.294407412,20965.88333333333,3.005479914560427,4.08756143056117,9695.0,1.4492753623188406,6431.029622762209,3197166.6907678116,3523.583333333332,0.8107582226072072,19.71707621113442,20.201368703286448,81.07582226072071,13.625823034127881
