date,route,direction,hour,baseline_trips,opt_trips,predicted_demand,lambda_opt,target
2026-01-15,2,1,6,11.0,16,7898.494571298653,260.0,balanced
2026-01-15,2,1,7,11.0,16,15345.859762777076,260.0,balanced
2026-01-15,2,1,8,9.0,14,19312.16850333609,260.0,balanced
2026-01-15,2,1,9,8.0,13,12106.409221832142,260.0,balanced
2026-01-15,2,1,10,7.0,12,5462.688736920168,260.0,balanced
2026-01-15,2,1,11,8.0,13,5057.624953725459,260.0,balanced
2026-01-15,2,1,12,7.0,12,5434.767273406249,260.0,balanced
2026-01-15,2,1,13,8.0,13,6113.821378725964,260.0,balanced
2026-01-15,2,1,14,7.0,12,7258.968418082881,260.0,balanced
2026-01-15,2,1,15,8.0,13,9169.894823077937,260.0,balanced
2026-01-15,2,1,16,10.0,15,10360.96445156728,260.0,balanced
2026-01-15,2,1,17,9.0,14,11566.704301856998,260.0,balanced
2026-01-15,2,1,18,8.0,13,8471.66303398844,260.0,balanced
2026-01-15,2,1,19,8.0,13,7419.052670398235,260.0,balanced
2026-01-15,2,1,20,6.0,11,5722.027452861615,260.0,balanced
2026-01-15,2,1,21,5.0,10,4721.841558089602,260.0,balanced
2026-01-15,2,1,22,6.0,11,3765.101464756544,260.0,balanced
2026-01-15,2,1,23,4.0,9,2169.1620013203105,260.0,balanced
2026-01-15,3,0,0,3.0,8,940.4661446316671,260.0,balanced
2026-01-15,3,0,1,3.0,6,346.16929914252546,260.0,balanced
2026-01-15,3,0,2,3.0,5,216.66583474015522,260.0,balanced
2026-01-15,3,0,3,3.0,6,269.943615152001,260.0,balanced
2026-01-15,3,0,4,3.0,8,709.4001410602664,260.0,balanced
2026-01-15,3,0,5,5.0,10,2648.1213832882645,260.0,balanced
2026-01-15,3,0,6,7.0,12,6180.640618588874,260.0,balanced
2026-01-15,3,0,7,8.0,13,13211.24682964974,260.0,balanced
2026-01-15,3,0,8,8.0,13,17513.539246891276,260.0,balanced
2026-01-15,3,0,9,8.0,13,11120.172006967581,260.0,balanced
2026-01-15,3,0,10,7.0,12,4844.181955364823,260.0,balanced
2026-01-15,3,0,11,8.0,13,4493.702582471108,260.0,balanced
2026-01-15,3,0,12,7.0,12,4781.868429107549,260.0,balanced
2026-01-15,3,0,13,8.0,13,5338.514818195276,260.0,balanced
2026-01-15,3,0,14,7.0,12,6246.905919427661,260.0,balanced
2026-01-15,3,0,15,9.0,14,7941.0908603662165,260.0,balanced
