route,direction,hour,baseline_trips,opt_trips
R,1,3,3.0,8
R,1,4,3.0,8
R,1,5,10.0,15
R,1,6,8.0,13
R,1,7,9.0,14
R,1,8,8.0,13
R,1,9,8.0,13
R,1,10,7.0,12
R,1,11,8.0,13
R,1,12,7.0,12
R,1,13,8.0,13
R,1,14,7.0,12
R,1,15,8.0,13
R,1,16,10.0,15
R,1,17,8.0,13
R,1,18,7.0,12
R,1,19,6.0,11
R,1,20,7.0,12
R,1,21,6.0,11
R,1,22,3.0,8
R,1,23,2.0,7
SI,0,0,2.0,7
SI,0,1,2.0,7
SI,0,2,2.0,7
SI,0,3,2.0,7
SI,0,4,2.0,7
SI,0,5,3.0,8
SI,0,6,6.0,11
SI,0,7,8.0,13
SI,0,8,5.0,10
SI,0,9,2.0,7
SI,0,10,2.0,7
SI,0,11,2.0,7
SI,0,12,2.0,7
SI,0,13,2.0,7
SI,0,14,3.0,8
SI,0,15,3.0,8
SI,0,16,3.0,8
SI,0,17,4.0,9
SI,0,18,4.0,9
SI,0,19,4.0,9
SI,0,20,2.0,7
SI,0,21,2.0,7
SI,0,22,2.0,7
SI,0,23,2.0,7
SI,1,0,2.0,7
SI,1,1,2.0,7
SI,1,2,2.0,7
SI,1,3,2.0,7
SI,1,4,2.0,7
SI,1,5,2.0,7
SI,1,6,2.0,7
SI,1,7,8.0,13
SI,1,8,5.0,10
SI,1,9,2.0,7
SI,1,10,2.0,7
SI,1,11,2.0,7
SI,1,12,2.0,7
SI,1,13,2.0,7
SI,1,14,2.0,7
SI,1,15,3.0,8
SI,1,16,6.0,11
SI,1,17,6.0,11
SI,1,18,8.0,13
SI,1,19,8.0,13
SI,1,20,2.0,7
SI,1,21,2.0,7
SI,1,22,2.0,7
SI,1,23,2.0,7
W,0,0,6.0,11
W,0,1,6.0,8
W,0,2,6.0,6
W,0,3,6.0,5
W,0,4,6.0,7
W,0,5,6.0,11
W,0,6,6.0,11
W,0,7,6.0,11
W,0,8,6.0,11
W,0,9,6.0,11
W,0,10,6.0,11
W,0,11,6.0,11
W,0,12,6.0,11
W,0,13,6.0,11
W,0,14,6.0,11
W,0,15,6.0,11
W,0,16,8.0,13
W,0,17,6.0,11
W,0,18,5.0,10
W,0,19,7.0,12
W,0,20,6.0,11
W,0,21,5.0,10
W,0,22,2.0,7
W,0,23,6.0,11
W,1,0,6.0,11
W,1,1,6.0,8
W,1,2,6.0,6
W,1,3,6.0,5
W,1,4,6.0,7
W,1,5,6.0,11
W,1,6,4.0,9
W,1,7,6.0,11
W,1,8,7.0,12
W,1,9,8.0,13
W,1,10,5.0,10
W,1,11,6.0,11
W,1,12,6.0,11
W,1,13,6.0,11
W,1,14,6.0,11
W,1,15,6.0,11
W,1,16,6.0,11
W,1,17,6.0,11
W,1,18,7.0,12
W,1,19,6.0,11
W,1,20,6.0,11
W,1,21,3.0,8
W,1,22,6.0,11
W,1,23,6.0,11
Z,0,0,3.0,8
Z,0,1,3.0,6
Z,0,2,3.0,5
Z,0,3,3.0,6
Z,0,4,3.0,8
Z,0,5,3.0,8
Z,0,6,3.0,8
Z,0,7,3.0,8
Z,0,8,3.0,8
Z,0,9,3.0,8
Z,0,10,3.0,8
Z,0,11,3.0,8
Z,0,12,3.0,8
Z,0,13,3.0,8
Z,0,14,3.0,8
Z,0,15,3.0,8
Z,0,16,1.0,6
Z,0,17,5.0,10
Z,0,18,3.0,8
Z,0,19,3.0,8
Z,0,20,3.0,8
Z,0,21,3.0,8
Z,0,22,3.0,8
Z,0,23,3.0,8
Z,1,0,3.0,8
Z,1,1,3.0,6
Z,1,2,3.0,5
Z,1,3,3.0,6
Z,1,4,3.0,8
Z,1,5,3.0,8
Z,1,6,3.0,8
Z,1,7,4.0,9
Z,1,8,2.0,7
Z,1,9,3.0,8
Z,1,10,3.0,8
Z,1,11,3.0,8
Z,1,12,3.0,8
Z,1,13,3.0,8
Z,1,14,3.0,8
Z,1,15,3.0,8
Z,1,16,3.0,8
Z,1,17,3.0,8
Z,1,18,3.0,8
Z,1,19,3.0,8
Z,1,20,3.0,8
Z,1,21,3.0,8
Z,1,22,3.0,8
Z,1,23,3.0,8
