scenario,method,n_slots,total_passenger_min_wait,total_fleet_cost,weighted_avg_wait_min,headway_std,total_trips,objective,wait_saved_vs_baseline,fleet_cost_delta_vs_baseline,objective_improvement_pct,wait_improvement_pct
weekday_peak,Baseline,1392,41276048.67372783,1457700.0,4.389408829076884,7.472098021532313,9718.0,42733748.67372783,0.0,0.0,0.0,0.0
weekday_peak,Analytical,1392,21794011.17398574,2420250.0,2.3176352422750814,4.541551252239703,16135.0,24214261.17398574,19482037.499742094,962550.0,43.33691303596691,47.19937621389228
weekend,Baseline,1392,28986623.948563375,1457700.0,4.6981407567374,7.472098021532313,9718.0,30444323.948563375,0.0,0.0,0.0,0.0
weekend,Analytical,1392,14886465.47460681,2411700.0,2.4127925450759746,4.715397168750615,16078.0,17298165.474606812,14100158.473956564,954000.0,43.18098341144774,48.6436726780505
rainy_day,Baseline,1392,34275683.56998631,1457700.0,4.378613755484273,7.472098021532313,9718.0,35733383.56998631,0.0,0.0,0.0,0.0
rainy_day,Analytical,1392,18143141.74642643,2395050.0,2.3177308734454347,4.837349698255368,15967.0,20538191.74642643,16132541.823559884,937350.0,42.52379793197878,47.0670170315332
