date,target,lambda_eval,lambda_opt,baseline_objective,optimized_objective,objective_improvement_pct,baseline_wait,optimized_wait,wait_improvement_pct,baseline_fleet_cost,optimized_fleet_cost,optimized_total_trips
2026-01-15,balanced,150.0,260.0,36202289.70841976,20697816.229451463,42.827328337086755,34744589.70841976,18367266.229451463,47.13632717038398,1457700.0,2330550.0,15537.0
2026-03-28,balanced,150.0,260.0,24502087.29339169,14209796.480454989,42.00577154793083,23044387.29339169,11901296.480454989,48.35490165595395,1457700.0,2308500.0,15390.0
2026-05-12,balanced,150.0,260.0,41813500.040070914,23729158.153585836,43.25000745968265,40355800.040070914,21395158.153585836,46.983684792912754,1457700.0,2334000.0,15560.0
