lambda,total_trips,total_passenger_min_wait,total_fleet_cost,objective,baseline_objective,improvement_pct,elapsed_s
100,16392.0,21761532.226188205,1639200.0,23400732.226188205,42247848.67372783,44.61083117649931,0.00036072731018066406
150,16135.0,21794011.17398574,2420250.0,24214261.17398574,42733748.67372783,43.33691303596691,0.00013136863708496094
200,15871.0,21840416.950224068,3174200.0,25014616.950224068,43219648.67372783,42.122118717198546,0.00011968612670898438
