model,mae,rmse,r2,mape_pct,smape_pct,train_sec,n_params
baseline,67.38555802941315,197.9924321715085,0.9342483756609894,19.476564314087184,25.004328532183077,0.0,0
mlp,50.93763546856883,164.16292602954636,0.9547978102949103,14.428475934487059,20.522773391375534,113.60003461100007,9889
blend,50.93763546856883,164.16292602954636,0.9547978102949103,14.428475934487059,20.522773391375534,125.73263320000012,9990
lstm,57.66814522065078,182.15841621600714,0.9443445385140689,16.61912390528236,22.406940962271804,2153.001525349,7841
